MODULE	GENE
grey	CFB
grey	IFT57
grey	TNFSF10
grey	SERPIND1
grey	PHLDA1
grey	POSTN
grey	EPHX1
grey	GCNT3
blue	GBP1
grey	AMIGO2
grey	CXCL1
grey	WFDC2
grey	PSCA
grey	GSTT1
grey	CHL1
grey	COL15A1
grey	KLF4
grey	REG1A
grey	LIMCH1
grey	TXNRD1
grey	NAMPT
red	MAGEA2
red	MAGEA2B
grey	ASPH
grey	MALL
grey	KLK12
blue	PTPRC
turquoise	C7
grey	DEFB1
grey	MUC1
grey	CEMIP
grey	C5
grey	AZGP1P1
grey	DLK1
grey	TACSTD2
grey	COL5A2
grey	ICAM1
grey	LAMA3
brown	DDX17
grey	CDH3
blue	HLA-DPA1
grey	SEMA3C
grey	ALOX15B
blue	CXCL11
grey	IFIT1
blue	CXCL10
grey	DHRS2
grey	ALB
blue	C1QB
grey	PLA2G10
turquoise	TMPRSS2
grey	TACC2
grey	TUBB2B
grey	ADM
grey	FOS
grey	SFRP4
grey	TENM1
grey	SLC2A10
grey	ANXA3
grey	F3
grey	FABP5
grey	IGFBP5
grey	TREM1
grey	CPB2
grey	MPZL2
grey	MAOA
grey	SERPINE1
grey	GALNT3
grey	SULT1C2
grey	C3
grey	SORL1
grey	BACE2
grey	VNN1
grey	SYBU
grey	CBR1
grey	G6PD
grey	DUSP6
turquoise	ASPM
grey	PIR
grey	GRB14
grey	NT5E
blue	CD163
turquoise	MGP
grey	GULP1
grey	HOXC6
grey	PTN
grey	IDO1
grey	OBSL1
grey	SLC2A3
grey	CLIC3
grey	NEDD9
grey	SLC39A8
grey	LEPR
turquoise	ECT2
turquoise	GGH
grey	PFN2
yellow	IGH
grey	H2AC18
grey	H2AC19
grey	RND3
grey	MUC16
grey	MUC13
grey	ACKR3
grey	ATF3
blue	APOE
grey	MMP9
grey	CXCL3
grey	BNIP3
grey	HAL
grey	ACSL5
grey	PCSK2
grey	LINC00342
grey	FBLN1
grey	SST
grey	NELL1
grey	ZBTB18
grey	CNMD
grey	ELOVL6
grey	H2BC4
grey	AGT
grey	CDA
grey	CPD
blue	SAMSN1
blue	CSTA
grey	BHMT2
grey	ISG15
grey	ATP8A1
grey	COL21A1
grey	NR0B1
grey	COL6A2
grey	PHLDA2
grey	GEM
blue	CXCL12
grey	SCN3A
grey	LAMC2
grey	LAMB3
grey	ADGRG6
turquoise	CDC20
grey	ME1
grey	TOB1
grey	NEBL
grey	CYP3A5
grey	CRIP1
grey	CPA3
grey	COL1A2
grey	GATA6
grey	TMPRSS11E
blue	DPYD
grey	IGF1
turquoise	CRYM
turquoise	CTSH
grey	SPTSSA
grey	SCNN1A
grey	BIRC3
grey	CDH11
grey	FHL2
grey	IRX5
grey	H2AC6
grey	THBS2
grey	PGGHG
grey	IGFBP6
grey	KRT7
grey	GCLM
grey	H2BC8
grey	NCALD
grey	INHBA
turquoise	CCNB1
grey	ITGBL1
grey	COL3A1
grey	CAV1
grey	CH25H
blue	PTGER4
blue	PLAAT4
turquoise	PRC1
grey	TUBB2A
brown	CDC42BPA
grey	TFF2
grey	PRAME
grey	ARSL
grey	OPN3
grey	NNMT
grey	DCN
grey	GALNT7
grey	TRIM29
grey	PTP4A1
brown	WSB1
grey	ATP1B1
grey	CRYZ
grey	RNASE4
grey	H2BC21
grey	HS3ST1
grey	ASS1
grey	CHIT1
blue	TRBC1
blue	TRBC2
blue	TRBV19
blue	TRBV3-1
blue	TRBV5-4
blue	TRBV6-5
blue	TRBV7-2
grey	HCAR3
grey	APOH
grey	ZSCAN31
turquoise	FHL1
grey	PLA2G2A
grey	SLC44A4
