"Model","Setup","Accuracy","Precision","Recall","F1_score","AUC"
"RF","Setup1",0.62979683972912,0.642857142857143,0.686440677966102,0.663934426229508,0.66243961352657
"RF","Setup2",0.584650112866817,0.605691056910569,0.63135593220339,0.618257261410788,0.627886268730042
"RF","Setup3",0.571106094808126,0.590551181102362,0.635593220338983,0.612244897959184,0.59545156800131
"SVM","Setup1",0.616252821670429,0.622222222222222,0.711864406779661,0.66403162055336,0.650556783755015
"SVM","Setup2",0.591422121896163,0.608695652173913,0.652542372881356,0.629856850715746,0.605420453615
"SVM","Setup3",0.577878103837472,0.588447653429603,0.690677966101695,0.635477582846004,0.611500040939982
"GLM","Setup1",0.591422121896163,0.617021276595745,0.614406779661017,0.615711252653928,0.636309670023745
"GLM","Setup2",0.586907449209932,0.604743083003953,0.648305084745763,0.625766871165644,0.615553099156636
"GLM","Setup3",0.591422121896163,0.602996254681648,0.682203389830508,0.640159045725646,0.614857119462867
