MODULE	GENE
blue	NCF2
blue	SUSD6
blue	CCL4
blue	CCL13
blue	AXL
blue	GBP2
blue	TMF1
blue	LAMA5
blue	CD2
blue	ABHD11
blue	GZMB
blue	C3AR1
blue	SLA
blue	FBXO21
blue	IRF1
blue	MS4A4A
blue	PLCB1
blue	SLC7A7
blue	DPYD
blue	LPXN
blue	FZD5
blue	IRF6
blue	ALDH18A1
blue	ESRP2
blue	ESRP1
blue	HPN
blue	CLEC7A
blue	CPSF1
blue	MAX
blue	GALNT11
blue	TBL1X
blue	SLC19A2
blue	TBC1D9
blue	LGSN
blue	MOSPD1
blue	EFHD2
blue	ATP11A
blue	UBAP2L
blue	KMT5B
blue	VWA1
blue	CST7
blue	MED13L
blue	RHOG
blue	HIP1R
blue	EPB41L4B
blue	RBMX
blue	RALB
blue	HACD2
blue	PARP12
blue	PIP4K2A
blue	CERS6
blue	ENTPD6
blue	YWHAH
blue	CDA
blue	TMEM109
blue	MBD2
blue	ATP2C2
blue	CASK
blue	YY1AP1
blue	COMMD3
blue	RGS10
blue	TOM1L1
blue	CORO1A
blue	NAGK
blue	GLIPR1
blue	SCO2
blue	PRF1
blue	FOXJ3
blue	RAB20
blue	CPVL
blue	DDX42
blue	PHF11
blue	TNIP1
blue	SHTN1
blue	DHTKD1
blue	OLR1
blue	TNFAIP8
blue	SERPINB9
blue	ELAPOR1
blue	BCL2A1
blue	CCL21
blue	RAB8A
blue	PSMB10
blue	LZTS3
blue	CCL3
blue	CCL3L1
blue	CCL3L3
blue	MAP1LC3B
blue	M6PR
blue	PTPN3
blue	PTGER4
blue	FAS
blue	IL1RN
blue	CREBL2
blue	LY86
blue	MOAP1
blue	DLG5
blue	ARHGAP8
blue	PRR5-ARHGAP8
blue	LTB
blue	MYCBP2
blue	LAIR1
blue	IGSF3
blue	GIMAP1-GIMAP5
blue	GIMAP5
blue	FCGR2B
blue	RNASE6
blue	PIN4
blue	ADPGK
blue	GCHFR
blue	IL10RA
blue	WEE1
blue	TRIM68
blue	PRKAB1
blue	FAM168B
blue	GNLY
blue	CALM3
blue	FCGR1A
blue	FCGR1CP
blue	PKP3
blue	SPOCK2
blue	GZMK
blue	CR2
blue	HOXC10
blue	SEC24C
blue	CD58
blue	IFIT3
blue	OPTN
blue	PLXNC1
blue	LHFPL2
blue	PDE4B
blue	MTARC1
blue	SMARCC1
blue	CD4
blue	PARD3
