MODULE	GENE
brown	NEAT1
brown	DDX17
brown	CDC42BPA
brown	WSB1
brown	IFI16
brown	ANKRD36B
brown	TXNIP
brown	IQGAP1
brown	ENC1
brown	RANBP2
brown	UGCG
brown	TRA2A
brown	SFPQ
brown	BLTP1
brown	TIA1
brown	HNRNPA3
brown	SOX4
brown	EZR
brown	ILF3
brown	RPL37A
brown	TCERG1
brown	MICU2
brown	LOC102724250
brown	NBPF1
brown	NBPF10
brown	NBPF11
brown	NBPF12
brown	NBPF14
brown	NBPF15
brown	NBPF19
brown	NBPF20
brown	NBPF25P
brown	NBPF26
brown	NBPF8
brown	NBPF9
brown	NOTCH2NLB
brown	CPNE3
brown	TANK
brown	TTC3
brown	GOLGA6L4
brown	GOLGA6L5P
brown	GOLGA6L9
brown	LOC102724093
brown	LOC102724117
brown	PIK3C2A
brown	SRRM2
brown	VPS13C
brown	NEMF
brown	CLK1
brown	ARID4B
brown	RBM39
brown	RSRP1
brown	PNISR
brown	AKAP9
brown	SRSF11
brown	SKIC3
brown	YTHDC2
brown	NDUFA5
brown	LUC7L3
brown	GCC2
brown	TOP1
brown	COPA
brown	STAG2
brown	TMEM259
brown	IBTK
brown	SF1
brown	NPIPB13
brown	BTAF1
brown	UBA3
brown	XAF1
brown	ZDHHC17
brown	NFAT5
brown	USP33
brown	ATP6V1G2-DDX39B
brown	DDX39B
brown	EIF4G1
brown	NOTCH2NLA
brown	SON
brown	SLTM
brown	TMEM63A
brown	SREK1
brown	BCLAF1
brown	GOLGA4
brown	BAZ2B
brown	TOP2B
brown	MATR3
brown	CEP350
brown	KIDINS220
brown	ATRX
brown	NKTR
brown	RGPD5
brown	RGPD6
brown	RGPD8
brown	FBXO11
brown	SENP6
brown	LTN1
brown	RBM26
brown	RBM25
brown	WASL
brown	ZNF638
brown	EXOC1
brown	PIKFYVE
brown	RNF19A
brown	PRRC2C
brown	PCBP2
brown	DHX9
brown	SLC25A36
brown	USP16
brown	PDS5A
brown	PIK3R1
brown	HNRNPH3
brown	GOLGA8N
brown	TPR
brown	TNPO1
brown	DIPK1A
brown	PSME4
brown	HNRNPDL
brown	SF3B1
brown	ROCK1
brown	ANKRD12
brown	MLEC
brown	PPIG
brown	DMTF1
