MODULE	GENE
tan	FASN
tan	KLK3
tan	GOLM1
tan	KLK2
tan	PDLIM5
tan	DCXR
tan	TARP
tan	TRGC1
tan	TRGC2
tan	TRGV9
tan	RDH11
tan	ACSL1
tan	PPP3CA
tan	ABHD2
tan	SORD
tan	FOLH1
tan	FOLH1B
tan	ALDH1A3
tan	DHRS7
tan	ARG2
tan	ALOX15B
tan	TMPRSS2
tan	PLPP1
tan	SERINC5
tan	MCCC2
tan	NKX3-1
tan	ACP3
tan	LRIG1
tan	COG5
tan	MIPEP
tan	SCARB2
