fromNode	toNode	weight	direction	fromAltName	toAltName
NPIPB11	SETD5	0.0550086682377388	undirected	NPIPB11	SETD5
NPIPB11	PILRB	0.0557700015299005	undirected	NPIPB11	PILRB
NPIPB11	STAG3L5P-PVRIG2P-PILRB	0.0557700015299005	undirected	NPIPB11	STAG3L5P-PVRIG2P-PILRB
NPIPB11	RALGDS	0.0675214051654299	undirected	NPIPB11	RALGDS
NPIPB13	NPIPB3	0.348935369145963	undirected	NPIPB13	NPIPB3
NPIPB13	NPIPB4	0.348935369145963	undirected	NPIPB13	NPIPB4
NPIPB13	NPIPB5	0.348935369145963	undirected	NPIPB13	NPIPB5
NPIPB13	LRRFIP1	0.121234337984239	undirected	NPIPB13	LRRFIP1
NPIPB13	CIST1	0.13947907565828	undirected	NPIPB13	CIST1
NPIPB13	PDE4C	0.13947907565828	undirected	NPIPB13	PDE4C
NPIPB13	ATP6V1G2-DDX39B	0.061539978285876	undirected	NPIPB13	ATP6V1G2-DDX39B
NPIPB13	DDX39B	0.061539978285876	undirected	NPIPB13	DDX39B
NPIPB13	NPIPA1	0.250234679869401	undirected	NPIPB13	NPIPA1
NPIPB13	NPIPA2	0.250234679869401	undirected	NPIPB13	NPIPA2
NPIPB13	NPIPA3	0.250234679869401	undirected	NPIPB13	NPIPA3
NPIPB13	NPIPA5	0.250234679869401	undirected	NPIPB13	NPIPA5
NPIPB13	NPIPA7	0.250234679869401	undirected	NPIPB13	NPIPA7
NPIPB13	NPIPA8	0.250234679869401	undirected	NPIPB13	NPIPA8
NPIPB13	NPIPB10P	0.250234679869401	undirected	NPIPB13	NPIPB10P
NPIPB13	PKD1P1	0.250234679869401	undirected	NPIPB13	PKD1P1
NPIPB13	DBT	0.0876652917762504	undirected	NPIPB13	DBT
NPIPB13	SRRM2	0.0595867369102726	undirected	NPIPB13	SRRM2
NPIPB13	USP34	0.133218150437488	undirected	NPIPB13	USP34
NPIPB13	NKTR	0.101180973530057	undirected	NPIPB13	NKTR
NPIPB13	LUC7L3	0.124696038085729	undirected	NPIPB13	LUC7L3
NPIPB13	TNFAIP8L1	0.11398454094757	undirected	NPIPB13	TNFAIP8L1
NPIPB13	SLC35E1	0.107569629165825	undirected	NPIPB13	SLC35E1
NPIPB13	ZNF721	0.0955439482814549	undirected	NPIPB13	ZNF721
NPIPB13	ANKRD36B	0.0796870591918849	undirected	NPIPB13	ANKRD36B
NPIPB13	HAUS2	0.131132112285886	undirected	NPIPB13	HAUS2
NPIPB13	UBXN4	0.0686725813513905	undirected	NPIPB13	UBXN4
NPIPB13	ZNF160	0.103047975997159	undirected	NPIPB13	ZNF160
NPIPB13	CDK5RAP3	0.0682566222052289	undirected	NPIPB13	CDK5RAP3
NPIPB13	TPR	0.0621647349220113	undirected	NPIPB13	TPR
NPIPB13	NSUN5P1	0.054893712277338	undirected	NPIPB13	NSUN5P1
NPIPB13	NSUN5P2	0.054893712277338	undirected	NPIPB13	NSUN5P2
NPIPB13	PGF	0.116166431633491	undirected	NPIPB13	PGF
NPIPB13	SNRNP70	0.0761616228032864	undirected	NPIPB13	SNRNP70
NPIPB13	PRR11	0.102161677563906	undirected	NPIPB13	PRR11
NPIPB13	ATP8B1	0.0542780826880693	undirected	NPIPB13	ATP8B1
NPIPB13	SCAF11	0.101825831917327	undirected	NPIPB13	SCAF11
NPIPB13	BPTF	0.0843867573718611	undirected	NPIPB13	BPTF
NPIPB13	TRA2A	0.0575616059809682	undirected	NPIPB13	TRA2A
NPIPB13	FBXW12	0.123483074615963	undirected	NPIPB13	FBXW12
NPIPB13	GABRE	0.0517972742482659	undirected	NPIPB13	GABRE
NPIPB13	SETD5	0.0550086682377388	undirected	NPIPB13	SETD5
NPIPB13	PILRB	0.0557700015299005	undirected	NPIPB13	PILRB
NPIPB13	STAG3L5P-PVRIG2P-PILRB	0.0557700015299005	undirected	NPIPB13	STAG3L5P-PVRIG2P-PILRB
NPIPB13	RALGDS	0.0675214051654299	undirected	NPIPB13	RALGDS
NPIPB3	NPIPB4	0.348935369145963	undirected	NPIPB3	NPIPB4
NPIPB3	NPIPB5	0.348935369145963	undirected	NPIPB3	NPIPB5
NPIPB3	LRRFIP1	0.121234337984239	undirected	NPIPB3	LRRFIP1
NPIPB3	CIST1	0.13947907565828	undirected	NPIPB3	CIST1
NPIPB3	PDE4C	0.13947907565828	undirected	NPIPB3	PDE4C
NPIPB3	ATP6V1G2-DDX39B	0.061539978285876	undirected	NPIPB3	ATP6V1G2-DDX39B
NPIPB3	DDX39B	0.061539978285876	undirected	NPIPB3	DDX39B
NPIPB3	NPIPA1	0.250234679869401	undirected	NPIPB3	NPIPA1
NPIPB3	NPIPA2	0.250234679869401	undirected	NPIPB3	NPIPA2
NPIPB3	NPIPA3	0.250234679869401	undirected	NPIPB3	NPIPA3
NPIPB3	NPIPA5	0.250234679869401	undirected	NPIPB3	NPIPA5
NPIPB3	NPIPA7	0.250234679869401	undirected	NPIPB3	NPIPA7
NPIPB3	NPIPA8	0.250234679869401	undirected	NPIPB3	NPIPA8
NPIPB3	NPIPB10P	0.250234679869401	undirected	NPIPB3	NPIPB10P
NPIPB3	PKD1P1	0.250234679869401	undirected	NPIPB3	PKD1P1
