MODULE	GENE
blue	CXCL13
blue	S100A8
blue	CXCL9
blue	GABBR1
blue	UBD
blue	CCL18
blue	HLA-DQA2
blue	MS4A4A
blue	RGS1
blue	ADAMDEC1
blue	MRC1
blue	CCL19
blue	FCGR3A
blue	FCGR3B
blue	GBP1
blue	PTPRC
blue	HLA-DPA1
blue	CXCL11
blue	CXCL10
blue	C1QB
blue	CD163
blue	APOE
blue	SAMSN1
blue	CSTA
blue	CXCL12
blue	DPYD
blue	PTGER4
blue	PLAAT4
blue	TRBC1
blue	TRBC2
blue	TRBV19
blue	TRBV3-1
blue	TRBV5-4
blue	TRBV6-5
blue	TRBV7-2
blue	CD52
blue	MNDA
blue	ALOX5
blue	SRGN
blue	MS4A1
blue	C1QA
blue	OLR1
blue	GZMB
blue	MARCO
blue	GPNMB
blue	HLA-DRA
blue	CCL5
blue	BCL2A1
blue	CCL2
blue	CCL8
blue	ALOX5AP
blue	HLA-DPB1
blue	CD14
blue	HLA-DRB1
blue	HLA-DRB3
blue	CD69
blue	HLA-DMA
blue	LYZ
blue	VCAM1
blue	TYROBP
blue	KCTD12
blue	APOC1
blue	STAT1
blue	PTGDS
blue	ITM2A
blue	CXCR4
blue	PSMB9
blue	CLEC2B
blue	LY75
blue	GZMA
blue	TGFBI
blue	FGL2
blue	TRIM22
blue	HLA-DRB5
blue	SLAMF8
blue	FCER1G
blue	ITGB2
blue	CYBB
blue	CYTIP
blue	VSIG4
blue	CCL3
blue	CCL3L1
blue	CCL3L3
blue	LY96
blue	CPVL
blue	PLBD1
blue	F13A1
blue	IL32
blue	DSE
blue	GPR171
blue	FCGR2A
blue	FCGR2C
blue	PLA2G7
blue	WARS1
blue	BHLHE41
blue	CCL13
blue	LAPTM5
blue	CASP1
blue	MAFB
blue	LIPA
blue	PDE4B
blue	FCGR2B
blue	CTSS
blue	HSPA6
blue	NPL
blue	MARCKS
blue	HLA-DMB
blue	GNLY
blue	CD74
blue	FAS
blue	EVI2B
blue	CCL4
blue	LXN
blue	RASGRP1
blue	HCK
blue	TARP
blue	TRGC1
blue	TRGC2
blue	TRGV9
blue	RNASE6
blue	PLXNC1
blue	TNFAIP8
blue	ENPP2
blue	EMP3
blue	NCF2
blue	FCGR1BP
blue	EVI2A
blue	C1S
blue	CCL21
blue	IL7R
blue	SNX10
blue	GBP2
blue	GZMK
blue	MS4A6A
blue	TFEC
blue	TAP1
blue	CSF2RB
blue	QKI
blue	CCND2
blue	AXL
blue	DAB2
blue	BTN3A2
blue	IL2RG
blue	ITGAM
blue	CD37
blue	GLIPR1
blue	LCP2
blue	CORO1A
blue	TNFAIP3
blue	SERPING1
blue	CHST6
blue	COTL1
blue	MSR1
blue	TLR2
blue	NKG7
blue	GIMAP6
blue	CD53
blue	BTN3A3
blue	GPR137B
blue	LTB
blue	HCLS1
blue	EPB41L3
blue	SERPINB9
blue	CTSC
blue	CLEC7A
blue	APOBEC3G
blue	PMP22
blue	LPAR6
blue	WIPF1
blue	RGS10
blue	ABCA1
blue	CD3D
blue	TRAC
blue	CD2
blue	CAPG
blue	C1R
blue	TGFB1
blue	RESF1
blue	ADA2
blue	LCK
blue	FCGR1A
blue	FCGR1CP
blue	GLYR1
blue	SEPTIN6
blue	THEMIS2
blue	PYCARD
blue	FUCA1
blue	C5AR1
blue	ACP5
blue	SELL
blue	CTSL
blue	LAP3
blue	TGM2
blue	HCP5
blue	CD8A
blue	RUNX3
blue	RAC2
blue	CST7
blue	TRAJ17
blue	TRAV20
blue	TRDV2
blue	FYN
blue	ITGA4
blue	CLEC4A
blue	IRF8
blue	C3AR1
blue	ARHGDIB
blue	DOCK2
blue	PRF1
blue	IL10RA
blue	MCUB
blue	CLEC5A
blue	CCR7
blue	UBE2L6
blue	VIM
blue	CTSB
blue	CSF1R
blue	CD86
blue	PSMB8
blue	NCF4
blue	SIRPA
blue	PLEK
blue	FCMR
blue	GPR183
blue	N4BP2L1
blue	ITK
blue	GMFG
blue	PRKCB
blue	FPR3
blue	IFI30
blue	HLA-E
blue	SLC1A3
blue	PSMB10
blue	TNFSF12-TNFSF13
blue	TNFSF13
