"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051983","regulation of chromosome segregation","20/212","140/18842",0.142857142857143,12.6967654986523,14.8183296666264,1.08340195885051e-16,5.30866959836748e-14,5.30866959836748e-14,"TRIP13/NDC80/TTK/DLGAP5/KIF2C/NCAPG2/ZWINT/CENPF/BUB1B/ACTL6A/BIRC5/MAD2L1/CDK1/UBE2C/CCNB1/BUB1/CDC20/NCAPG/CDC6/SMC2",20
"GO:0045787","positive regulation of cell cycle","27/212","312/18842",0.0865384615384615,7.69130986937591,12.7134730668093,1.80403085578892e-16,8.15977033233758e-14,8.15977033233758e-14,"DTL/RRM1/NDC80/RAD51AP1/AURKA/GPSM2/DLGAP5/NCAPG2/BIRC5/MAD2L1/CDK1/EIF4EBP1/DBF4/NUSAP1/EZH2/RRM2/UBE2C/RACGAP1/CDC7/CCNB1/BUB1/CDC20/NCAPG/CDC6/CCNE2/SMC2/ECT2",27
"GO:0000075","cell cycle checkpoint signaling","22/212","191/18842",0.115183246073298,10.2371826533636,13.6873266443967,3.26258633269836e-16,1.37028625973331e-13,1.37028625973331e-13,"TRIP13/DTL/NDC80/TTK/H2AX/RFC5/DONSON/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CDK1/DBF4/TOPBP1/RFC4/CDC7/CCNB1/BUB1/PRKDC/CDC20/CDC6",22
"GO:0051052","regulation of DNA metabolic process","32/212","481/18842",0.0665280665280665,5.9128388184992,11.64314662376,4.95200270857266e-16,1.94118506176048e-13,1.94118506176048e-13,"DTL/PCNA/SSBP1/RAD51AP1/DEK/H2AX/RFC5/CCNA2/GMNN/MCM4/SKP2/ACTL6A/MCM2/MCM6/NEK2/MSH6/CDK1/DBF4/MCM7/MSH2/CCT6A/RFC4/USP1/MCM5/FOXM1/KPNA2/SMC3/CDC7/PRKDC/CDC6/ELOC/UBE2V2",32
"GO:1905818","regulation of chromosome separation","16/212","82/18842",0.195121951219512,17.3419236079153,15.820024909484,8.09480960795119e-16,2.97484253092206e-13,2.97484253092206e-13,"TRIP13/NDC80/TTK/DLGAP5/NCAPG2/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/UBE2C/CCNB1/BUB1/CDC20/NCAPG/SMC2",16
"GO:1901987","regulation of cell cycle phase transition","31/212","459/18842",0.0675381263616558,6.00261026842603,11.5746614522951,9.79613988697021e-16,3.38831191384617e-13,3.38831191384617e-13,"TRIP13/DTL/RRM1/NDC80/AURKA/TTK/DLGAP5/H2AX/RFC5/DONSON/ZWINT/CENPF/BUB1B/ACTL6A/FHL1/BIRC5/MAD2L1/CDK1/DBF4/TOPBP1/EZH2/RRM2/UBE2C/RFC4/CDC7/CCNB1/BUB1/PRKDC/CDC20/CDC6/CCNE2",31
"GO:0007093","mitotic cell cycle checkpoint signaling","19/212","140/18842",0.135714285714286,12.0619272237197,14.014069476574,1.7243642202069e-15,5.63292311934255e-13,5.63292311934255e-13,"TRIP13/DTL/NDC80/TTK/DONSON/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CDK1/DBF4/TOPBP1/CDC7/CCNB1/BUB1/PRKDC/CDC20/CDC6",19
"GO:1901990","regulation of mitotic cell cycle phase transition","27/212","345/18842",0.0782608695652174,6.95561936013126,11.9096585402691,2.22075094829999e-15,6.87263977684418e-13,6.87263977684418e-13,"TRIP13/DTL/RRM1/NDC80/AURKA/TTK/DLGAP5/DONSON/ZWINT/CENPF/BUB1B/ACTL6A/FHL1/BIRC5/MAD2L1/CDK1/DBF4/TOPBP1/RRM2/UBE2C/CDC7/CCNB1/BUB1/PRKDC/CDC20/CDC6/CCNE2",27
"GO:0051304","chromosome separation","16/212","88/18842",0.181818181818182,16.1595197255575,15.205240737157,2.64653137696162e-15,7.78080224826716e-13,7.78080224826716e-13,"TRIP13/NDC80/TTK/DLGAP5/NCAPG2/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/UBE2C/CCNB1/BUB1/CDC20/NCAPG/SMC2",16
"GO:0006261","DNA-templated DNA replication","20/212","171/18842",0.116959064327485,10.3950126889551,13.1651288658296,5.7156442546139e-15,1.60038039129189e-12,1.60038039129189e-12,"DTL/PCNA/RRM1/SSBP1/GINS1/RFC5/GMNN/MCM4/DONSON/MCM2/MCM6/DBF4/MCM7/TOPBP1/RFC4/MCM5/CDC7/CDC6/HLTF/ELOC",20
"GO:0010948","negative regulation of cell cycle process","25/212","309/18842",0.0809061488673139,7.19072479697136,11.7047287306512,1.20832488217955e-14,3.22952286691626e-12,3.22952286691626e-12,"TRIP13/DTL/NDC80/TTK/H2AX/RFC5/GMNN/DONSON/ZWINT/CENPF/BUB1B/FHL1/BIRC5/MAD2L1/NEK2/CDK1/DBF4/TOPBP1/RFC4/CDC7/CCNB1/BUB1/PRKDC/CDC20/CDC6",25
"GO:0006275","regulation of DNA replication","17/212","123/18842",0.138211382113821,12.2838625556067,13.3931427856233,4.06085256465781e-14,1.03816578609513e-11,1.03816578609513e-11,"DTL/PCNA/SSBP1/CCNA2/GMNN/MCM4/ACTL6A/MCM2/MCM6/CDK1/DBF4/MCM7/MCM5/SMC3/CDC7/CDC6/ELOC",17
"GO:1901991","negative regulation of mitotic cell cycle phase transition","20/212","190/18842",0.105263157894737,9.35551142005958,12.3481134796949,4.39908667669378e-14,1.07506276545448e-11,1.07506276545448e-11,"TRIP13/DTL/NDC80/TTK/DONSON/ZWINT/CENPF/BUB1B/FHL1/BIRC5/MAD2L1/CDK1/DBF4/TOPBP1/CDC7/CCNB1/BUB1/PRKDC/CDC20/CDC6",20
"GO:1901988","negative regulation of cell cycle phase transition","23/212","269/18842",0.0855018587360595,7.59917935049449,11.6288968982173,4.57084509121803e-14,1.07506276545448e-11,1.07506276545448e-11,"TRIP13/DTL/NDC80/TTK/H2AX/RFC5/DONSON/ZWINT/CENPF/BUB1B/FHL1/BIRC5/MAD2L1/CDK1/DBF4/TOPBP1/RFC4/CDC7/CCNB1/BUB1/PRKDC/CDC20/CDC6",23
"GO:0044839","cell cycle G2/M phase transition","18/212","146/18842",0.123287671232877,10.9574825536314,12.8844270271829,5.42267050748924e-14,1.22635779169372e-11,1.22635779169372e-11,"DTL/RRM1/NDC80/AURKA/CCNA2/DONSON/CENPF/FHL1/BIRC5/NEK2/MELK/CDK1/DBF4/TOPBP1/FOXM1/CDC7/CCNB1/CDC6",18
"GO:0000086","G2/M transition of mitotic cell cycle","17/212","131/18842",0.129770992366412,11.5337030102261,12.9057038737232,1.17967422176716e-13,2.56906830518181e-11,2.56906830518181e-11,"DTL/RRM1/AURKA/CCNA2/DONSON/CENPF/FHL1/BIRC5/NEK2/MELK/CDK1/DBF4/TOPBP1/FOXM1/CDC7/CCNB1/CDC6",17
